onset	duration	onsetsample	eventnumber	subjectnr	sequencenumber	blocksequencenumber	istarget	presentationnumber	stimnumber	stim	stimname	time_stimon	time_stimoff	stimdur	cresp	resp	rt	correct
0.2919921875	0.2	598	0	51	0	0	0	0	294	stimuli\Videos_short_600ms_vertflip\31.hand_grabbing_wrist_short_vertflip_short_600ms.mp4	31.hand_grabbing_wrist_short_vertflip_short_600ms.mp4	46.65435555436943	47.26269333280925	0.6083377784398181				
1.091796875	0.2	2236	1	51	0	0	0	1	95	stimuli\Videos_short_600ms_horflip\14.repeated_touch_with_pencil_short_horflip_short_600ms.mp4	14.repeated_touch_with_pencil_short_horflip_short_600ms.mp4	47.45455742427589	48.06266412560035	0.6081067013244592				
1.8916015625	0.2	3874	2	51	0	0	0	2	296	stimuli\Videos_short_600ms_vertflip\33.scratch_top_to_bottom_with_scissors_short_vertflip_short_600ms.mp4	33.scratch_top_to_bottom_with_scissors_short_vertflip_short_600ms.mp4	48.25432558472335	48.86264635494899	0.6083207702256459				
2.69189453125	0.2	5513	3	51	0	0	0	3	184	stimuli\Videos_short_600ms_horvertflip\13.single_touch_with_pen_short_horvertflip_short_600ms.mp4	13.single_touch_with_pen_short_horvertflip_short_600ms.mp4	49.05431016003263	49.66263122350347	0.6083210634708394				
3.49169921875	0.2	7151	4	51	0	0	0	4	1	stimuli\Videos_short_600ms\10.single_touch_with_knife_short_short_600ms.mp4	10.single_touch_with_knife_short_short_600ms.mp4	49.85426365136436	50.46261638530291	0.6083527339385455				
4.29150390625	0.2	8789	5	51	0	0	0	5	45	stimuli\Videos_short_600ms\50.single_(long)hard_push_with_thumb_short_short_600ms.mp4	50.single_(long)hard_push_with_thumb_short_short_600ms.mp4	50.65430394323698	51.26259802816139	0.6082940849244096				
5.091796875	0.2	10428	6	51	0	0	0	6	252	stimuli\Videos_short_600ms_horvertflip\75.(long)stroke_with_fingers_all_over_the_hand_short_horvertflip_short_600ms.mp4	75.(long)stroke_with_fingers_all_over_the_hand_short_horvertflip_short_600ms.mp4	51.4542759090084	52.062580844000195	0.6083049349917928				
5.8916015625	0.2	12066	7	51	0	0	0	7	308	stimuli\Videos_short_600ms_vertflip\44.pushing_top_to_bottom_with_finger_short_vertflip_short_600ms.mp4	44.pushing_top_to_bottom_with_finger_short_vertflip_short_600ms.mp4	52.25426634921905	52.86256512606451	0.6082987768454586				
6.69140625	0.2	13704	8	51	0	0	0	8	88	stimuli\Videos_short_600ms\9.single_touch_with_hammer_short_short_600ms.mp4	9.single_touch_with_hammer_short_short_600ms.mp4	53.054226291942314	53.66254618243306	0.6083198904907476				
7.49169921875	0.2	15343	9	51	0	0	0	9	217	stimuli\Videos_short_600ms_horvertflip\43.touch_top_to_bottom_with_sharp_wooden_stick_short_horvertflip_short_600ms.mp4	43.touch_top_to_bottom_with_sharp_wooden_stick_short_horvertflip_short_600ms.mp4	53.85418975360653	54.46253163747747	0.6083418838709349				
8.29150390625	0.2	16981	10	51	0	0	0	10	59	stimuli\Videos_short_600ms\63.stroke_top_to_bottom_with_screwdriver_short_short_600ms.mp4	63.stroke_top_to_bottom_with_screwdriver_short_short_600ms.mp4	54.65416758427932	55.26251503980643	0.6083474555271096				
9.09130859375	0.2	18619	11	51	0	0	0	11	150	stimuli\Videos_short_600ms_horflip\64.repeated_touch_with_screwdriver_short_horflip_short_600ms.mp4	64.repeated_touch_with_screwdriver_short_horflip_short_600ms.mp4	55.45418177734064	56.062493163724184	0.6083113863835479				
9.8916015625	0.2	20258	12	51	0	0	0	12	354	stimuli\Videos_short_600ms_vertflip\86.touch_top_to_bottom_with_hair_brush_short_vertflip_short_600ms.mp4	86.touch_top_to_bottom_with_hair_brush_short_vertflip_short_600ms.mp4	56.25416605940495	56.8624569186336	0.6082908592286458				
10.69140625	0.2	21896	13	51	0	0	0	13	300	stimuli\Videos_short_600ms_vertflip\37.single_stab_with_nail_file_short_vertflip_short_600ms.mp4	37.single_stab_with_nail_file_short_vertflip_short_600ms.mp4	57.05414183736207	57.662438268247115	0.6082964308850478				
11.4912109375	0.2	23534	14	51	0	0	0	14	314	stimuli\Videos_short_600ms_vertflip\5.repeated_tap_with_finger_moving_from_top_to_bottom_short_vertflip_short_600ms.mp4	5.repeated_tap_with_finger_moving_from_top_to_bottom_short_vertflip_short_600ms.mp4	57.854129931612306	58.46244659640706	0.6083166647947564				
12.29150390625	0.2	25173	15	51	0	0	0	15	340	stimuli\Videos_short_600ms_vertflip\73.single_stroke_with_flat_hand_short_vertflip_short_600ms.mp4	73.single_stroke_with_flat_hand_short_vertflip_short_600ms.mp4	58.6540840094342	59.26243498390227	0.6083509744680669				
13.09130859375	0.2	26811	16	51	0	0	0	16	91	stimuli\Videos_short_600ms_horflip\10.single_touch_with_knife_short_horflip_short_600ms.mp4	10.single_touch_with_knife_short_horflip_short_600ms.mp4	59.4540902848787	60.062417506496104	0.6083272216174009				
13.89111328125	0.2	28449	17	51	0	0	0	17	222	stimuli\Videos_short_600ms_horvertflip\48.single_slap_with_hand_short_horvertflip_short_600ms.mp4	48.single_slap_with_hand_short_horvertflip_short_600ms.mp4	60.254075446678144	60.862406187236274	0.6083307405581309				
14.69140625	0.2	30088	18	51	0	0	0	18	118	stimuli\Videos_short_600ms_horflip\35.single_punch_with_hand_short_horflip_short_600ms.mp4	35.single_punch_with_hand_short_horflip_short_600ms.mp4	61.054058262516946	61.66238489764419	0.6083266351272414				
15.4912109375	0.2	31726	19	51	0	0	0	19	13	stimuli\Videos_short_600ms\21.repeated_touch_with_metal_chopstick_short_short_600ms.mp4	21.repeated_touch_with_metal_chopstick_short_short_600ms.mp4	61.854170106186984	62.462366247257705	0.6081961410707208				
16.29150390625	0.2	33365	20	51	0	0	0	20	196	stimuli\Videos_short_600ms_horvertflip\24.single_stroke_top_to_bottom_with_a_spoon_short_horvertflip_short_600ms.mp4	24.single_stroke_top_to_bottom_with_a_spoon_short_horvertflip_short_600ms.mp4	62.65402448068494	63.26234466442065	0.6083201837357137				
17.09130859375	0.2	35003	21	51	0	0	0	21	350	stimuli\Videos_short_600ms_vertflip\82.repeated_touch_with_cotton_bud_short_vertflip_short_600ms.mp4	82.repeated_touch_with_cotton_bud_short_vertflip_short_600ms.mp4	63.45400729652374	64.06232777350442	0.6083204769806798				
17.89111328125	0.2	36641	22	51	0	0	0	22	356	stimuli\Videos_short_600ms_vertflip\88.repeated_stroke_with_plastic_brush_short_vertflip_short_600ms.mp4	88.repeated_stroke_with_plastic_brush_short_vertflip_short_600ms.mp4	64.25399040560774	64.86231176232354	0.6083213567158055				
18.69140625	0.2	38280	23	51	0	0	0	23	221	stimuli\Videos_short_600ms_horvertflip\47.(long)scratching_with_finger_nails_short_horvertflip_short_600ms.mp4	47.(long)scratching_with_finger_nails_short_horvertflip_short_600ms.mp4	65.05395386727196	65.66229604438786	0.608342177115901				
