onset	duration	onsetsample	eventnumber	subjectnr	sequencenumber	blocksequencenumber	istarget	presentationnumber	stimnumber	stim	stimname	time_stimon	time_stimoff	stimdur	cresp	resp	rt	correct
27.01416015625	0.2	55325	0	18	0	0	0	0	268	stimuli\Videos_short_600ms_horvertflip\9.single_touch_with_hammer_short_horvertflip_short_600ms.mp4	9.single_touch_with_hammer_short_horvertflip_short_600ms.mp4	116.4608767408181	117.0668536207222	0.6059768799041194				
27.814453125	0.2	56964	1	18	0	0	0	1	357	stimuli\Videos_short_600ms_vertflip\89.single_touch_with_plastic_brush_short_vertflip_short_600ms.mp4	89.single_touch_with_plastic_brush_short_vertflip_short_600ms.mp4	117.26688429424668	117.87516813988532	0.6082838456386526				
28.6142578125	0.2	58602	2	18	0	0	0	2	282	stimuli\Videos_short_600ms_vertflip\20.single_touch_with_screwdriver_short_vertflip_short_600ms.mp4	20.single_touch_with_screwdriver_short_vertflip_short_600ms.mp4	118.06683514622864	118.6751556476088	0.6083205013801489				
29.4140625	0.2	60240	3	18	0	0	0	3	88	stimuli\Videos_short_600ms\9.single_touch_with_hammer_short_short_600ms.mp4	9.single_touch_with_hammer_short_short_600ms.mp4	118.8668182552633	119.47513729041384	0.6083190351505436				
30.21435546875	0.2	61879	4	18	0	0	0	4	272	stimuli\Videos_short_600ms_vertflip\11.single_touch_with_lighter_short_vertflip_short_600ms.mp4	11.single_touch_with_lighter_short_vertflip_short_600ms.mp4	119.66680781570813	120.27513036980965	0.6083225541015054				
31.01416015625	0.2	63517	5	18	0	0	0	5	310	stimuli\Videos_short_600ms_vertflip\46.scratching_top_to_bottom_with_finger_nails_short_vertflip_short_600ms.mp4	46.scratching_top_to_bottom_with_finger_nails_short_vertflip_short_600ms.mp4	120.466787699037	121.07510702743366	0.6083193283966466				
31.81396484375	0.2	65155	6	18	0	0	0	6	240	stimuli\Videos_short_600ms_horvertflip\64.repeated_touch_with_screwdriver_short_horvertflip_short_600ms.mp4	64.repeated_touch_with_screwdriver_short_horvertflip_short_600ms.mp4	121.26675321331597	121.87509512164888	0.6083419083329318				
32.6142578125	0.2	66794	7	18	0	0	0	7	262	stimuli\Videos_short_600ms_horvertflip\84.single_touch_with_cotton_bud_short_horvertflip_short_600ms.mp4	84.single_touch_with_cotton_bud_short_horvertflip_short_600ms.mp4	122.06675802254904	122.67507881717528	0.6083207946262519				
33.4140625	0.2	68432	8	18	0	0	0	8	337	stimuli\Videos_short_600ms_vertflip\70.(long)stroke_with_finger_all_over_the_hand_short_vertflip_short_600ms.mp4	70.(long)stroke_with_finger_all_over_the_hand_short_vertflip_short_600ms.mp4	122.86677514811116	123.47506544516092	0.6082902970497344				
34.2138671875	0.2	70070	9	18	0	0	0	9	117	stimuli\Videos_short_600ms_horflip\34.repeated_punch_with_hand_short_horflip_short_600ms.mp4	34.repeated_punch_with_hand_short_horflip_short_600ms.mp4	123.66674154212753	124.2750350648821	0.6082935227545931				
35.01416015625	0.2	71709	10	18	0	0	0	10	224	stimuli\Videos_short_600ms_horvertflip\5.repeated_tap_with_finger_moving_from_top_to_bottom_short_horvertflip_short_600ms.mp4	5.repeated_tap_with_finger_moving_from_top_to_bottom_short_horvertflip_short_600ms.mp4	124.46672758362138	125.0750143617197	0.6082867780983179				
35.81396484375	0.2	73347	11	18	0	0	1	11	373	stimuli\Targets_short_600ms_horvertflip\chopstick-silver-tap_short_vertflip_short_600ms.mp4	chopstick-silver-tap_short_vertflip_short_600ms.mp4	125.2667027750158	125.87499981672136	0.6082970417055549				
36.61376953125	0.2	74985	12	18	0	0	0	12	263	stimuli\Videos_short_600ms_horvertflip\85.touch_top_to_bottom_with_fabric_short_horvertflip_short_600ms.mp4	85.touch_top_to_bottom_with_fabric_short_horvertflip_short_600ms.mp4	126.06668705703396	126.67499055015014	0.6083034931161819				
37.4140625	0.2	76624	13	18	0	0	0	13	216	stimuli\Videos_short_600ms_horvertflip\42.single_slap_with_plastic_whisk_short_horvertflip_short_600ms.mp4	42.single_slap_with_plastic_whisk_short_horvertflip_short_600ms.mp4	126.86667397826524	127.47497981734888	0.6083058390836413				
38.2138671875	0.2	78262	14	18	0	0	0	14	291	stimuli\Videos_short_600ms_vertflip\29.single_pinch_with_tweezers_short_vertflip_short_600ms.mp4	29.single_pinch_with_tweezers_short_vertflip_short_600ms.mp4	127.6666617792348	128.2749840400902	0.6083222608554024				
