onset	duration	onsetsample	eventnumber	subjectnr	sequencenumber	blocksequencenumber	istarget	presentationnumber	stimnumber	stim	stimname	time_stimon	time_stimoff	stimdur	cresp	resp	rt	correct
27.6865234375	0.2	56702	0	40	0	0	0	0	153	stimuli\Videos_short_600ms_horflip\67.single_touch_with_sponge_short_horflip_short_600ms.mp4	67.single_touch_with_sponge_short_horflip_short_600ms.mp4	88.6262225789394	89.23619258867825	0.609970009738845	n/a	n/a	n/a	n/a
28.48681640625	0.2	58341	1	40	0	0	0	1	42	stimuli\Videos_short_600ms\48.single_slap_with_hand_short_short_600ms.mp4	48.single_slap_with_hand_short_short_600ms.mp4	89.42782323252595	90.03618449509054	0.6083612625645856	n/a	n/a	n/a	n/a
29.28662109375	0.2	59979	2	40	0	0	0	2	142	stimuli\Videos_short_600ms_horflip\57.single_touch_with_nail_file_short_horflip_short_600ms.mp4	57.single_touch_with_nail_file_short_horflip_short_600ms.mp4	90.22855969035572	90.83613564031862	0.607575949962893	n/a	n/a	n/a	n/a
30.08642578125	0.2	61617	3	40	0	0	0	3	283	stimuli\Videos_short_600ms_vertflip\21.repeated_touch_with_metal_chopstick_short_vertflip_short_600ms.mp4	21.repeated_touch_with_metal_chopstick_short_vertflip_short_600ms.mp4	91.02796627789098	91.6361275467309	0.6081612688399218	n/a	n/a	n/a	n/a
30.88671875	0.2	63256	4	40	0	0	0	4	162	stimuli\Videos_short_600ms_horflip\75.(long)stroke_with_fingers_all_over_the_hand_short_horflip_short_600ms.mp4	75.(long)stroke_with_fingers_all_over_the_hand_short_horflip_short_600ms.mp4	91.82786405235947	92.43611828015946	0.6082542277999892	n/a	n/a	n/a	n/a
31.6865234375	0.2	64894	5	40	0	0	0	5	296	stimuli\Videos_short_600ms_vertflip\33.scratch_top_to_bottom_with_scissors_short_vertflip_short_600ms.mp4	33.scratch_top_to_bottom_with_scissors_short_vertflip_short_600ms.mp4	92.62781079889852	93.23608144847049	0.6082706495719776	n/a	n/a	n/a	n/a
32.486328125	0.2	66532	6	40	0	0	0	6	104	stimuli\Videos_short_600ms_horflip\22.single_touch_with_metal_chopstick_short_horflip_short_600ms.mp4	22.single_touch_with_metal_chopstick_short_horflip_short_600ms.mp4	93.42778892275214	94.03609329560618	0.608304372854036	n/a	n/a	n/a	n/a
33.28662109375	0.2	68171	7	40	0	0	0	7	85	stimuli\Videos_short_600ms\87.single_stroke_top_to_bottom_with_plastic_brush_short_short_600ms.mp4	87.single_stroke_top_to_bottom_with_plastic_brush_short_short_600ms.mp4	94.22777555073776	94.83608168306728	0.6083061323295169	n/a	n/a	n/a	n/a
34.08642578125	0.2	69809	8	40	0	0	0	8	105	stimuli\Videos_short_600ms_horflip\23.single_push_with_a_spoon_short_horflip_short_600ms.mp4	23.single_push_with_a_spoon_short_horflip_short_600ms.mp4	95.0277964884972	95.63609734240003	0.6083008539028469	n/a	n/a	n/a	n/a
34.88623046875	0.2	71447	9	40	0	0	0	9	294	stimuli\Videos_short_600ms_vertflip\31.hand_grabbing_wrist_short_vertflip_short_600ms.mp4	31.hand_grabbing_wrist_short_vertflip_short_600ms.mp4	95.82774147556074	96.43607106756464	0.6083295920038836	n/a	n/a	n/a	n/a
35.6865234375	0.2	73086	10	40	0	0	0	10	151	stimuli\Videos_short_600ms_horflip\65.stroke_top_to_bottom_with_stanley_knife_short_horflip_short_600ms.mp4	65.stroke_top_to_bottom_with_stanley_knife_short_horflip_short_600ms.mp4	96.627720479152	97.2360585752881	0.6083380961360945	n/a	n/a	n/a	n/a
36.486328125	0.2	74724	11	40	0	0	0	11	34	stimuli\Videos_short_600ms\40.repeated_push_with_finger_short_short_600ms.mp4	40.repeated_push_with_finger_short_short_600ms.mp4	97.42769948274348	98.03604285730626	0.6083433745627644	n/a	n/a	n/a	n/a
37.2861328125	0.2	76362	12	40	0	0	0	12	112	stimuli\Videos_short_600ms_horflip\3.single_push_with_finger_short_horflip_short_600ms.mp4	3.single_push_with_finger_short_horflip_short_600ms.mp4	98.22769930679578	98.83602772581617	0.6083284190203813	n/a	n/a	n/a	n/a
38.08642578125	0.2	78001	13	40	0	0	0	13	274	stimuli\Videos_short_600ms_vertflip\13.single_touch_with_pen_short_vertflip_short_600ms.mp4	13.single_touch_with_pen_short_vertflip_short_600ms.mp4	99.0276466398268	99.63601552678551	0.6083688869587149	n/a	n/a	n/a	n/a
38.88623046875	0.2	79639	14	40	0	0	0	14	356	stimuli\Videos_short_600ms_vertflip\88.repeated_stroke_with_plastic_brush_short_vertflip_short_600ms.mp4	88.repeated_stroke_with_plastic_brush_short_vertflip_short_600ms.mp4	99.82766435188093	100.43599863581994	0.6083342839390298	n/a	n/a	n/a	n/a
39.68603515625	0.2	81277	15	40	0	0	0	15	134	stimuli\Videos_short_600ms_horflip\5.repeated_tap_with_finger_moving_from_top_to_bottom_short_horflip_short_600ms.mp4	5.repeated_tap_with_finger_moving_from_top_to_bottom_short_horflip_short_600ms.mp4	100.62769613973978	101.23594890130994	0.6082527615701565	n/a	n/a	n/a	n/a
40.486328125	0.2	82916	16	40	0	0	0	16	133	stimuli\Videos_short_600ms_horflip\49.repeated_slap_with_hand_short_horflip_short_600ms.mp4	49.repeated_slap_with_hand_short_horflip_short_600ms.mp4	101.427616494145	102.0359710120531	0.6083545179080829	n/a	n/a	n/a	n/a
41.2861328125	0.2	84554	17	40	0	0	0	17	242	stimuli\Videos_short_600ms_horvertflip\66.stroke_top_to_bottom_with_sponge_short_horvertflip_short_600ms.mp4	66.stroke_top_to_bottom_with_sponge_short_horvertflip_short_600ms.mp4	102.22759197878533	102.83595764003871	0.6083656612534014	n/a	n/a	n/a	n/a
42.0859375	0.2	86192	18	40	0	0	0	18	245	stimuli\Videos_short_600ms_horvertflip\69.stroke_with_soft_sock_short_horvertflip_short_600ms.mp4	69.stroke_with_soft_sock_short_horvertflip_short_600ms.mp4	103.02757860677092	103.63594632074592	0.6083677139749852	n/a	n/a	n/a	n/a
