onset	duration	onsetsample	eventnumber	subjectnr	sequencenumber	blocksequencenumber	istarget	presentationnumber	stimnumber	stim	stimname	time_stimon	time_stimoff	stimdur	cresp	resp	rt	correct
232.33837890625	0.2	475829	0	71	0	0	0	0	163	stimuli\Videos_short_600ms_horflip\76.tickle_with_fingers_from_top_to_bottom_short_horflip_short_600ms.mp4	76.tickle_with_fingers_from_top_to_bottom_short_horflip_short_600ms.mp4	128.67234437997286	129.2806806921874	0.6083363122145329				
233.13818359375	0.2	477467	1	71	0	0	0	1	196	stimuli\Videos_short_600ms_horvertflip\24.single_stroke_top_to_bottom_with_a_spoon_short_horvertflip_short_600ms.mp4	24.single_stroke_top_to_bottom_with_a_spoon_short_horvertflip_short_600ms.mp4	129.47249757119766	130.08064796603753	0.6081503948398677				
233.9384765625	0.2	479106	2	71	0	0	0	2	291	stimuli\Videos_short_600ms_vertflip\29.single_pinch_with_tweezers_short_vertflip_short_600ms.mp4	29.single_pinch_with_tweezers_short_vertflip_short_600ms.mp4	130.27229622913228	130.88059676544822	0.6083005363159373				
234.73828125	0.2	480744	3	71	0	0	0	3	67	stimuli\Videos_short_600ms\70.(long)stroke_with_finger_all_over_the_hand_short_short_600ms.mp4	70.(long)stroke_with_finger_all_over_the_hand_short_short_600ms.mp4	131.07230279782186	131.68059043135474	0.608287633532882				
235.5380859375	0.2	482382	4	71	0	0	0	4	30	stimuli\Videos_short_600ms\37.single_stab_with_nail_file_short_short_600ms.mp4	37.single_stab_with_nail_file_short_short_600ms.mp4	131.87228707988606	132.48056357010626	0.6082764902201916				
236.33837890625	0.2	484021	5	71	0	0	0	5	151	stimuli\Videos_short_600ms_horflip\65.stroke_top_to_bottom_with_stanley_knife_short_horflip_short_600ms.mp4	65.stroke_top_to_bottom_with_stanley_knife_short_horflip_short_600ms.mp4	132.67226930923482	133.28055019813098	0.6082808888961608				
237.13818359375	0.2	485659	6	71	0	0	0	6	64	stimuli\Videos_short_600ms\68.stroke_top_to_bottom_with_shawl_short_short_600ms.mp4	68.stroke_top_to_bottom_with_shawl_short_short_600ms.mp4	133.4722210410963	134.08053653291074	0.6083154918144373				
237.93798828125	0.2	487297	7	71	0	0	0	7	187	stimuli\Videos_short_600ms_horvertflip\16.repeated_touch_with_plastic_brush_short_horvertflip_short_600ms.mp4	16.repeated_touch_with_plastic_brush_short_horvertflip_short_600ms.mp4	134.27223728687318	134.88053987590456	0.608302589031382				
238.73828125	0.2	488936	8	71	0	0	0	8	32	stimuli\Videos_short_600ms\39.single_stab_with_scissors_short_short_600ms.mp4	39.single_stab_with_scissors_short_short_600ms.mp4	135.0721978160867	135.68054057969275	0.6083427636060605				
239.5380859375	0.2	490574	9	71	0	0	0	9	279	stimuli\Videos_short_600ms_vertflip\18.single_stroke_from_top_to_bottom_with_rolling_pin_short_vertflip_short_600ms.mp4	18.single_stroke_from_top_to_bottom_with_rolling_pin_short_vertflip_short_600ms.mp4	135.87220203881566	136.4805204630809	0.6083184242652351				
240.337890625	0.2	492212	10	71	0	0	0	10	159	stimuli\Videos_short_600ms_horflip\72.(short)stroke_with_finger_all_over_the_hand_short_horflip_short_600ms.mp4	72.(short)stroke_with_finger_all_over_the_hand_short_horflip_short_600ms.mp4	136.6722379320123	137.2805170614381	0.6082791294257959				
241.13818359375	0.2	493851	11	71	0	0	0	11	54	stimuli\Videos_short_600ms\59.single_push_with_long_side_pencil_short_short_600ms.mp4	59.single_push_with_long_side_pencil_short_short_600ms.mp4	137.47218995711876	138.0804632216432	0.6082732645244278				
241.93798828125	0.2	495489	12	71	0	0	0	12	197	stimuli\Videos_short_600ms_horvertflip\25.single_touch_with_stanley_knife_short_horvertflip_short_600ms.mp4	25.single_touch_with_stanley_knife_short_horvertflip_short_600ms.mp4	138.27214843361685	138.88047154980313	0.6083231161862841				
